Brix R411_Value,pH R411_Value,Total cell count R411_Value,Budding ratio R411_Value,TSAI R411_Value,%Alcohol R411_Value,%Acidity R411_Value,Temp. R411_Value,level R411_Value,viable cell count R411_Value
13.69999980926514,4.925000190734863,402.5,47.2049674987793,2.900000095367432,5.199999809265137,0.5389999747276306,32.12634544372558,340.0784301757812,98.2788314819336
13.69999980926514,4.917500019073486,460.0,54.27881240844727,2.918260957883752,5.099999904632568,0.5411304105883059,32.05767974853516,340.0784301757812,98.2788314819336
13.69999980926514,4.909999847412109,517.5,61.35265731811523,2.936521820400072,5.0,0.5432608464489812,31.98901405334473,340.0403869628906,98.2788314819336
13.69999980926514,4.943999767303467,510.0,61.51960754394531,2.954782682916393,5.300000190734863,0.5453912823096566,31.9203483581543,340.00234375,98.2788314819336
13.69999980926514,4.95199990272522,520.625,66.64215850830078,2.973043545432713,4.950000047683716,0.5475217181703319,31.85168266296387,339.9643005371094,98.2788314819336
13.69999980926514,4.960000038146973,531.25,71.76470947265625,2.991304407949033,4.599999904632568,0.5496521540310072,32.06683502197266,339.9262573242187,98.2788314819336
13.6899998664856,4.961499929428101,509.375,68.57466125488281,3.009565270465353,4.799999952316284,0.5517825898916825,32.28198738098145,339.8882141113281,98.2788314819336
13.67999992370605,4.962999820709229,487.5,65.38461303710938,3.027826132981673,5.0,0.5539130257523578,32.49713973999023,340.3927001953125,98.2788314819336
13.66999998092651,4.979249835014343,480.3125,64.2291955947876,3.046086995497994,5.024999976158142,0.5560434616130331,32.71229209899902,340.8971862792969,98.2788314819336
13.66000003814697,4.995499849319458,473.125,63.07377815246582,3.064347858014314,5.049999952316284,0.5581738974737085,32.92744445800781,341.6084442138672,98.2788314819336
13.65000009536743,5.011749863624573,465.9375,61.91836071014404,3.082608720530634,5.074999928474426,0.5603043333343838,32.76951370239258,342.3197021484375,98.2788314819336
13.64000015258789,5.027999877929688,458.75,60.76294326782227,3.100869583046955,5.099999904632568,0.5624347691950591,32.61158294677735,339.6773223876953,98.2788314819336
13.63000020980835,5.015249967575073,460.3125,62.97812175750732,3.119130445563275,5.12499988079071,0.5645652050557344,32.45365219116211,337.0349426269531,98.2788314819336
13.62000026702881,5.002500057220459,461.875,65.19330024719238,3.137391308079595,5.149999856948853,0.5666956409164097,32.29572143554687,340.2851867675781,98.2788314819336
13.61000032424927,4.989750146865845,463.4375,67.40847873687744,3.155652170595916,5.174999833106995,0.568826076777085,32.13779067993164,336.1996154785156,98.2788314819336
13.60000038146973,4.97700023651123,465.0,69.6236572265625,3.173913033112236,5.199999809265137,0.5709565126377604,32.16525650024414,332.1140441894531,98.2788314819336
13.62500035762787,4.973750233650208,450.625,69.70240592956543,3.192173895628556,5.049999833106995,0.5730869484984357,32.19272232055664,328.0284729003906,98.2788314819336
13.65000033378601,4.970500230789185,436.25,69.78115463256836,3.210434758144876,4.899999856948853,0.575217384359111,32.22018814086914,330.6997985839844,98.2788314819336
13.67500030994415,4.967250227928162,421.875,69.85990333557129,3.228695620661196,4.74999988079071,0.5773478202197863,32.24765396118164,320.427978515625,98.2788314819336
13.70000028610229,4.964000225067139,407.5,69.93865203857422,3.246956483177517,4.599999904632568,0.5794782560804616,32.25826575539329,310.1561584472656,98.2788314819336
13.72500026226044,4.957250118255615,417.1875,67.29992771148682,3.265217345693837,4.649999976158142,0.581608691941137,32.26887754960494,299.8843383789062,98.2788314819336
13.75000023841858,4.950500011444092,426.875,64.66120338439941,3.283478208210157,4.700000047683716,0.5837391278018123,32.27948934381659,297.4693908691406,98.2788314819336
13.77500021457672,4.943749904632568,436.5625,62.02247905731201,3.301739070726478,4.75000011920929,0.5858695636624875,32.29010113802823,300.3226623535156,98.2788314819336
13.80000019073486,4.936999797821045,446.25,59.38375473022461,3.319999933242798,4.800000190734863,0.5879999995231628,32.30071293223988,299.6072692871094,98.2788314819336
13.80000019073486,4.925333182017009,448.75,58.87291590372721,3.311206829958949,4.833333492279053,0.5874895829086503,32.31132472645152,298.8918762207031,98.2788314819336
13.80000019073486,4.913666566212972,451.25,58.36207707722982,3.302413726675099,4.866666793823242,0.5869791662941376,32.32193652066317,288.0659484863281,98.2788314819336
13.80000019073486,4.901999950408936,453.75,57.85123825073242,3.29362062339125,4.900000095367432,0.586468749679625,32.33254831487482,288.0659484863281,98.2788314819336
13.80000019073486,4.904857090541294,448.5714285714286,58.73989759172712,3.284827520107401,4.928571496691022,0.5859583330651125,32.34316010908647,288.0659484863281,98.2788314819336
13.80000019073486,4.907714230673654,443.3928571428572,59.62855693272182,3.276034416823552,4.957142898014614,0.5854479164505998,32.35377190329812,279.1008605957031,98.2788314819336
13.80000019073486,4.910571370806013,438.2142857142857,60.51721627371652,3.267241313539702,4.985714299338205,0.5849374998360872,32.36438369750977,269.8256072998047,98.2788314819336
13.80000019073486,4.913428510938372,433.0357142857143,61.40587561471121,3.258448210255853,5.014285700661795,0.5844270832215747,32.37537040710449,260.5503540039062,98.2788314819336
13.80000019073486,4.916285651070731,427.8571428571428,62.29453495570591,3.249655106972004,5.042857101985386,0.583916666607062,32.38635711669922,243.0171356201172,98.2788314819336
13.80000019073486,4.919142791203091,422.6785714285714,63.18319429670061,3.240862003688155,5.071428503308978,0.5834062499925494,32.39734382629395,238.7413482666016,98.2788314819336
13.80000019073486,4.921999931335449,417.5,64.07185363769531,3.232068900404305,5.099999904632568,0.5828958333780369,32.40833053588867,229.5570755004883,98.2788314819336
